省份,数量
北京,258000
上海,260000
广东,262000
天津,60700
重庆,16200
河北,17200
山西,15400
辽宁,11600
吉林,12400
黑龙江,12200
江苏,31200
浙江,40500
安徽,13500
福建,14200
江西,13700
山东,37900
河南,17900
湖北,15000
湖南,255000
海南,13400
四川,17200
贵州,12600
云南,13000
陕西,14200
甘肃,12400
青海,10500
内蒙古,13000
广西,17800
西藏,14400
宁夏,10900
新疆,13400
