省份,人均GDP（美元）
北京,23802
上海,22820
江苏,17939
浙江,15755
福建,15594
广东,13756
天津,13109
湖北,11227
重庆,11032
山东,10253
内蒙古,9847
陕西,9675
安徽,8508
湖南,8353
辽宁,8283
海南,8237
河南,8189
四川,8101
新疆,7926
宁夏,7897
江西,7722
西藏,7158
青海,7127
云南,6971
贵州,6752
河北,6734
山西,6639
吉林,6286
广西,6250
黑龙江,5230
甘肃,4792
