省份,搜索指数日均值
北京,280
上海,196
广东,332
天津,128
重庆,147
河北,199
山西,151
辽宁,189
吉林,121
黑龙江,124
江苏,243
浙江,267
安徽,182
福建,160
江西,141
山东,244
河南,218
湖北,179
湖南,154
海南,99
四川,204
贵州,113
云南,113
陕西,169
甘肃,91
青海,29
内蒙古,115
广西,136
西藏,4
宁夏,69
新疆,89
